image_num,machine_num,actual_max,actual_final,extracted_final,error,abs_error
16,70,3340.0,3125.0,2688.39,-436.6100000000001,436.6100000000001
15,81,11430.0,6771.0,6527.49,-243.51000000000022,243.51000000000022
14,100,9060.0,-5997.0,-6272.91,-275.90999999999985,275.90999999999985
12,98,3620.0,-10925.0,-11028.51,-103.51000000000022,103.51000000000022
11,97,20340.0,19669.0,19674.13,5.130000000001019,5.130000000001019
10,2239,24560.0,22900.0,22860.27,-39.72999999999956,39.72999999999956
9,1147,3540.0,-19100.0,-19445.5,-345.5,345.5
5,2239,1360.0,-7813.0,-7538.36,274.6400000000003,274.6400000000003
4,1146,5700.0,-24750.0,-24896.81,-146.8100000000013,146.8100000000013
3,1105,390.0,195.0,-183.3,-378.3,378.3
2,1112,18860.0,8000.0,7595.17,-404.8299999999999,404.8299999999999
