image,color,actual_max,extracted_max,max_error,max_accuracy,actual_final,extracted_final,final_error,final_accuracy
S__78209088,pink,3340.0,2878.320683111953,-461.6793168880472,98.46106894370651,3125.0,2739.0552995391668,-385.94470046083325,98.71351766513055
S__78209128,pink,11430.0,10929.435483870968,-500.5645161290322,98.33145161290322,6771.0,6525.537634408607,-245.46236559139288,99.18179211469536
S__78209130,pink,9060.0,8630.09337860781,-429.9066213921906,98.5669779286927,-5997.0,-6353.649893692418,-356.6498936924181,98.81116702102527
S__78209136,pink,3620.0,3480.1488833746903,-139.85111662530971,99.53382961124896,-10925.0,-11060.240963855424,-135.24096385542362,99.54919678714859
S__78209138,pink,20340.0,19993.863955119214,-346.13604488078636,98.84621318373071,19669.0,19439.516129032258,-229.4838709677424,99.23505376344086
S__78209156,pink,24560.0,24147.022332506203,-412.9776674937966,98.62340777502068,22900.0,22668.490783410136,-231.50921658986408,99.22830261136711
S__78209158,pink,3540.0,3119.2396313364047,-420.7603686635953,98.59746543778802,-19100.0,-19367.469879518074,-267.46987951807387,99.10843373493975
S__78209160,blue,7080.0,5927.419354838709,-1152.5806451612907,96.15806451612903,3010.0,2419.3548387096776,-590.6451612903224,98.03118279569892
S__78209162,blue,12700.0,11612.90322580645,-1087.0967741935492,96.3763440860215,1700.0,1088.7096774193549,-611.2903225806451,97.96236559139786
S__78209164,blue,21020.0,21048.387096774193,28.387096774193196,99.90537634408602,15450.0,15000.0,-450.0,98.5
S__78209166,purple,1360.0,1330.6451612903227,-29.354838709677324,99.90215053763441,-7813.0,-7469.879518072289,343.1204819277109,98.85626506024096
S__78209168,purple,5700.0,5443.548387096775,-256.4516129032254,99.14516129032258,-24750.0,-24698.795180722893,51.20481927710716,99.82931726907631
S__78209170,purple,390.0,362.9032258064516,-27.096774193548413,99.90967741935484,195.0,-1084.3373493975903,-1279.3373493975903,95.7355421686747
S__78209174,purple,18860.0,18793.20276497696,-66.79723502304114,99.77734254992319,8000.0,7862.903225806452,-137.0967741935483,99.54301075268818
