file_name,min_value,max_value,final_value,mean_value,start_value,data_points,zero_line_y
S__78209088,-7944.25087108014,2404.1811846689898,2404.1811846689898,-2752.3729424486364,-522.6480836236934,435,287
S__78209128,-186509.43396226416,-138113.20754716982,-147452.83018867925,-160480.82775410835,-164150.94339622642,434,106
S__78209130,-7944.25087108014,7108.0139372822305,-5435.540069686412,-2173.6085918451713,-627.1777003484322,413,287
S__78209136,-13473.684210526317,2526.315789473684,-9789.473684210527,-5156.687590535973,-842.1052631578948,436,285
S__78209138,-3658.536585365854,16933.797909407665,16724.73867595819,5563.713290194129,-522.6480836236934,420,287
S__78209156,-1473.6842105263158,20421.052631578947,19578.947368421053,9286.225639665916,-842.1052631578948,397,285
S__78209158,-72857.14285714286,-60952.380952380954,-71428.57142857143,-70732.36889692587,-68571.42857142858,316,63
S__78209160,-12961.672473867597,5540.0696864111505,2508.7108013937286,-4462.866538777747,-418.11846689895475,534,287
S__78209162,-173333.33333333334,-171666.6666666667,-173333.33333333334,-173316.07211354046,-173333.33333333334,869,18
S__78209164,-177652.1739130435,0.0,0.0,-64018.7121629059,0.0,869,115
S__78209166,-67826.08695652174,-58260.86956521739,-66086.95652173914,-65342.91431690012,-66086.95652173914,239,69
S__78209168,-8315.78947368421,-3263.157894736842,-8315.78947368421,-5824.561403508772,-3263.157894736842,9,285
S__78209170,-5894.736842105263,-315.7894736842105,-631.578947368421,-2178.137651821862,-5894.736842105263,13,285
S__78209174,-78387.09677419355,-66290.32258064515,-76935.48387096774,-76314.23628777855,-74032.25806451612,317,62
