file_name,color,max_value,min_value,final_value,data_points
S__78209088_optimal,pink,3120.2561669829206,-9066.265060240963,2802.4193548387098,431
S__78209128_optimal,pink,11171.370967741936,-10087.014725568943,6562.961205987773,429
S__78209130_optimal,pink,8872.028862478777,-9120.481927710842,-6323.033309709426,408
S__78209132_optimal,pink,30000.0,-1767.0682730923718,28713.075148771244,315
S__78209136_optimal,pink,3722.084367245658,-15163.51118760757,-11031.542838018744,431
S__78209138_optimal,pink,20235.799438990183,-4139.414802065401,19479.301075268817,416
S__78209156_optimal,pink,24388.95781637717,-1343.019135364987,22690.414068853348,392
S__78209158_optimal,pink,3361.175115207372,-19608.43373493976,-19608.43373493976,393
S__78209160_optimal,blue,7137.096774193548,-15421.68674698795,2580.6451612903224,529
S__78209162_optimal,blue,12701.612903225807,-3373.4939759036142,1290.3225806451612,558
S__78209164_optimal,blue,21290.322580645163,-3493.975903614458,15362.903225806453,407
S__78209166_optimal,purple,1572.5806451612905,-11566.265060240965,-7389.558232931727,449
S__78209168_optimal,purple,5685.4838709677415,-25271.0843373494,-24578.31325301205,460
S__78209170_optimal,purple,604.8387096774194,-16385.5421686747,-1016.0642570281129,578
S__78209174_optimal,purple,19035.13824884793,-11204.819277108432,7782.258064516129,560
